id,country,state,city,station,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
1592,India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",SO2,1,9,3
1593,India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",CO,43,48,45
1600,India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",CO,9,22,14
1603,India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",PM10,41,63,52
1604,India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",NO2,179,219,192
1617,India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",NO2,2,29,17
1619,India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",SO2,1,2,1
1621,India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",OZONE,1,29,3
1622,India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",PM2.5,28,46,37
1629,India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",PM2.5,NA,NA,NA
1634,India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",OZONE,10,11,11
1638,India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",NH3,4,6,5
1641,India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",OZONE,3,65,8
1651,India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",NO2,7,29,14
1652,India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",NH3,19,28,22
1662,India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",OZONE,38,39,38
1663,India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",PM10,35,76,55
1664,India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",NO2,2,3,3
1669,India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",PM2.5,25,57,39
1677,India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",SO2,3,6,5
1685,India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",CO,50,64,59
1691,India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",SO2,9,20,13
1699,India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB",CO,40,44,41
1712,India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",CO,18,34,23
1721,India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB",PM2.5,10,31,23
1726,India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB",OZONE,1,2,2
1736,India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",NH3,3,19,7
1740,India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",PM2.5,35,60,48
1741,India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",PM10,57,112,91
1742,India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",NO2,11,55,28
1743,India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",NH3,2,7,5
1759,India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB",CO,10,25,12
1766,India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB",CO,2,18,13
1780,India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",CO,8,22,10
2952,India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",PM10,36,65,52
2953,India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",NO2,7,14,10
2954,India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",NH3,1,2,1
2956,India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",CO,12,26,20
2969,India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",SO2,26,30,27
2975,India,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",SO2,1,3,1
2977,India,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",OZONE,28,48,46
2978,India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",PM2.5,29,55,41
2988,India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",NH3,2,3,2
3007,India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",PM10,68,135,99
3014,India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",PM10,102,125,114
3030,India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",NH3,3,7,5
3033,India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",OZONE,6,24,12
3039,India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",CO,18,63,20
3043,India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",NO2,14,60,24
3048,India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB",PM2.5,19,52,38
3055,India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",PM2.5,83,145,102
3056,India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",PM10,72,142,106
3057,India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",NO2,5,33,11
3062,India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",PM2.5,79,104,90
3067,India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",CO,18,48,22
3073,India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",SO2,5,9,7
3082,India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",OZONE,13,59,26
2462,India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB",NO2,13,13,13
2469,India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB",NO2,NA,NA,NA
2475,India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",SO2,1,64,24
2481,India,TamilNadu,Hosur,"SIPCOT Phase-1, Hosur - TNPCB",CO,6,7,6
2498,India,TamilNadu,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB",NO2,NA,NA,NA
2499,India,TamilNadu,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB",NH3,NA,NA,NA
2503,India,TamilNadu,Salem,"Sona College of Technology, Salem - TNPCB",PM2.5,NA,NA,NA
2513,India,TamilNadu,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB",CO,1,123,14
2517,India,TamilNadu,Tirupur,"Kumaran College, Tirupur - TNPCB",NH3,NA,NA,NA
2524,India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB",NH3,3,5,3
2528,India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",PM2.5,38,49,41
2533,India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",CO,8,38,16
2544,India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",NO2,8,14,11
2545,India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",SO2,1,11,6
