Match,Team,BowlerName,Over,Maidens,Runs,Wickets,Economy,0s,4s,6s,WideBalls,NoBalls,MatchID
Pakistan vs Sri Lanka,Pakistan,Shadab Khan,8,0,55,1,6.87,20,6,1,0,0,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Iftikhar Ahmed,4,0,22,0,5.5,11,2,0,1,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,Maheesh Theekshana,10,0,59,1,5.9,23,3,0,1,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,Dilshan Madushanka,9.2,0,60,2,6.42,27,5,1,2,1,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,Dasun Shanaka,5,0,28,0,5.6,10,2,0,0,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,Matheesha Pathirana,9,0,90,1,10,14,8,1,9,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,Dunith Wellalage,10,0,62,0,6.2,24,4,2,0,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,4,0,36,0,9,7,3,2,0,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,Charith Asalanka,1,0,10,0,10,1,1,0,0,0,ODI # 4665
India vs Afghanistan,India,Jasprit Bumrah,10,0,39,4,3.9,41,5,0,3,0,ODI # 4666
India vs Afghanistan,India,Mohammed Siraj,9,0,76,0,8.44,23,12,1,1,0,ODI # 4666
India vs Afghanistan,India,Hardik Pandya,7,0,43,2,6.14,23,5,1,2,0,ODI # 4666
India vs Afghanistan,India,Shardul Thakur,6,0,31,1,5.16,21,2,1,1,1,ODI # 4666
India vs Afghanistan,India,Kuldeep Yadav,10,0,40,1,4,35,0,3,0,0,ODI # 4666
India vs Afghanistan,India,Ravindra Jadeja,8,0,38,0,4.75,22,1,1,0,1,ODI # 4666
India vs Afghanistan,Afghanistan,Fazalhaq Farooqi,6,0,50,0,8.33,17,6,2,1,0,ODI # 4666
India vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,8,0,64,0,8,18,6,1,3,0,ODI # 4666
India vs Afghanistan,Afghanistan,Naveen-ul-Haq,5,0,31,0,6.2,16,4,1,0,0,ODI # 4666
India vs Afghanistan,Afghanistan,Azmatullah Omarzai,4,0,34,0,8.5,12,5,1,1,0,ODI # 4666
India vs Afghanistan,Afghanistan,Mohammad Nabi,4,0,32,0,8,11,3,2,0,0,ODI # 4666
India vs Afghanistan,Afghanistan,Rashid Khan,8,0,57,2,7.12,12,4,1,1,0,ODI # 4666
Australia vs South Africa,Australia,Mitchell Starc,9,1,53,2,5.88,29,3,3,1,0,ODI # 4667
Australia vs South Africa,Australia,Josh Hazlewood,9,0,60,1,6.66,30,7,2,3,0,ODI # 4667
Australia vs South Africa,Australia,Glenn Maxwell,10,1,34,2,3.4,32,0,0,2,0,ODI # 4667
Australia vs South Africa,Australia,Pat Cummins,9,0,71,1,7.88,19,6,3,0,0,ODI # 4667
Australia vs South Africa,Australia,Adam Zampa,10,0,70,1,7,20,9,0,1,0,ODI # 4667
Australia vs South Africa,Australia,Mitchell Marsh,1,0,6,0,6,1,0,0,0,0,ODI # 4667
Australia vs South Africa,Australia,Marcus Stoinis,2,0,11,0,5.5,5,1,0,0,0,ODI # 4667
Australia vs South Africa,South Africa,Lungi Ngidi,8,2,18,1,2.25,35,0,0,1,0,ODI # 4667
Australia vs South Africa,South Africa,Marco Jansen,7,0,54,2,7.71,24,8,0,3,1,ODI # 4667
Australia vs South Africa,South Africa,Kagiso Rabada,8,1,33,3,4.12,35,5,0,1,1,ODI # 4667
Australia vs South Africa,South Africa,Keshav Maharaj,10,0,30,2,3,40,2,0,2,0,ODI # 4667
Australia vs South Africa,South Africa,Tabraiz Shamsi,7.5,0,38,2,4.85,24,4,0,0,0,ODI # 4667
Bangladesh vs New Zealand,New Zealand,Trent Boult,10,0,45,2,4.5,37,5,1,2,0,ODI # 4668
Bangladesh vs New Zealand,New Zealand,Matt Henry,10,0,58,2,5.8,27,6,0,0,1,ODI # 4668
Bangladesh vs New Zealand,New Zealand,Lockie Ferguson,10,0,49,3,4.9,44,4,3,2,2,ODI # 4668
Bangladesh vs New Zealand,New Zealand,Mitchell Santner,10,1,31,1,3.1,36,2,0,0,0,ODI # 4668
Bangladesh vs New Zealand,New Zealand,Glenn Phillips,2,0,13,1,6.5,8,1,1,0,1,ODI # 4668
Bangladesh vs New Zealand,New Zealand,Rachin Ravindra,7,0,37,0,5.28,22,2,2,0,0,ODI # 4668
