Match,TeamInnings,BattingPosition,BatsmenName,RunsScored,BallsFaced,4s,6s,StrikeRate,NotOut,MatchID
Afghanistan vs Bangladesh,Afghanistan,3,Rahmat Shah,18,25,1,0,72.00 ,0,ODI # 4660
Afghanistan vs Bangladesh,Afghanistan,4,Hashmatullah Shahidi,18,38,2,0,47.36 ,0,ODI # 4660
Afghanistan vs Bangladesh,Afghanistan,5,Najibullah Zadran,5,13,0,0,38.46 ,0,ODI # 4660
Afghanistan vs Bangladesh,Afghanistan,6,Mohammad Nabi,6,12,0,0,50.00 ,0,ODI # 4660
Afghanistan vs Bangladesh,Afghanistan,7,Azmatullah Omarzai,22,20,4,0,110.00 ,0,ODI # 4660
Afghanistan vs Bangladesh,Afghanistan,8,Rashid Khan,9,16,1,0,56.25 ,0,ODI # 4660
Afghanistan vs Bangladesh,Afghanistan,9,Mujeeb Ur Rahman,1,4,0,0,25.00 ,0,ODI # 4660
Afghanistan vs Bangladesh,Afghanistan,10,NaveenNaNulNaNHaq,0,6,0,0,0.00 ,0,ODI # 4660
Afghanistan vs Bangladesh,Afghanistan,11,Fazalhaq Farooqi,0,3,0,0,0.00 ,1,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,1,Tanzid Hasan,5,13,1,0,38.46 ,0,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,2,Litton Das,13,18,2,0,72.22 ,0,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,3,Mehidy Hasan Miraz,57,73,5,0,78.08 ,0,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,4,Najmul Hossain Shanto,59,83,3,1,71.08 ,1,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,5,Shakib Al Hasan,14,19,2,0,73.68 ,0,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,6,Mushfiqur Rahim,2,3,0,0,66.66 ,1,ODI # 4660
South Africa vs Sri Lanka,South Africa,1,Quinton de Kock,100,84,12,3,119.04 ,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,2,Temba Bavuma,8,5,2,0,160.00 ,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,3,Rassie van der Dussen,108,110,13,2,98.18 ,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,4,Aiden Markram,106,54,14,3,196.29 ,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,5,Heinrich Klaasen,32,20,1,3,160.00 ,0,ODI # 4661
South Africa vs Sri Lanka,South Africa,6,David Miller,39,21,3,2,185.71 ,1,ODI # 4661
South Africa vs Sri Lanka,South Africa,7,Marco Jansen,12,7,0,1,171.42 ,1,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,0,3,0,0,0.00 ,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,2,Kusal Perera,7,15,1,0,46.66 ,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,3,Kusal Mendis,76,42,4,8,180.95 ,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,4,Sadeera Samarawickrama,23,19,3,1,121.05 ,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,5,Charith Asalanka,79,65,8,4,121.53 ,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,6,Dhananjaya de Silva,11,14,1,0,78.57 ,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,7,Dasun Shanaka,68,62,6,3,109.67 ,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,8,Dunith Wellalage,0,1,0,0,0.00 ,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,9,Kasun Rajitha,33,31,4,1,106.45 ,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,10,Matheesha Pathirana,5,16,1,0,31.25 ,0,ODI # 4661
South Africa vs Sri Lanka,Sri Lanka,11,Dilshan Madushanka,4,2,1,0,200.00 ,1,ODI # 4661
India vs Australia,Australia,1,David Warner,41,52,6,0,78.84 ,0,ODI # 4662
India vs Australia,Australia,2,Mitchell Marsh,0,6,0,0,0.00 ,0,ODI # 4662
India vs Australia,Australia,3,Steven Smith,46,71,5,0,64.78 ,0,ODI # 4662
India vs Australia,Australia,4,Marnus Labuschagne,27,41,1,0,65.85 ,0,ODI # 4662
India vs Australia,Australia,5,Glenn Maxwell,15,25,1,0,60.00 ,0,ODI # 4662
India vs Australia,Australia,6,Alex Carey,0,2,0,0,0.00 ,0,ODI # 4662
India vs Australia,Australia,7,Cameron Green,8,20,0,0,40.00 ,0,ODI # 4662
India vs Australia,Australia,8,Pat Cummins,15,24,1,1,62.50 ,0,ODI # 4662
India vs Australia,Australia,9,Mitchell Starc,28,35,2,1,80.00 ,0,ODI # 4662
India vs Australia,Australia,10,Adam Zampa,6,20,0,0,30.00 ,0,ODI # 4662
India vs Australia,Australia,11,Josh Hazlewood,1,1,0,0,100.00 ,1,ODI # 4662
India vs Australia,India,1,Rohit Sharma,0,6,0,0,0.00 ,0,ODI # 4662
India vs Australia,India,2,Ishan Kishan,0,1,0,0,0.00 ,0,ODI # 4662
India vs Australia,India,3,Virat Kohli,85,116,6,0,73.27 ,0,ODI # 4662
India vs Australia,India,4,Shreyas Iyer,0,3,0,0,0.00 ,0,ODI # 4662
India vs Australia,India,5,KL Rahul,97,115,8,2,84.34 ,1,ODI # 4662
India vs Australia,India,6,Hardik Pandya,11,8,0,1,137.50 ,1,ODI # 4662
Netherlands vs New Zealand,New Zealand,1,Devon Conway,32,40,5,1,80.00 ,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,2,Will Young,70,80,7,2,87.50 ,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,3,Rachin Ravindra,51,51,3,1,100.00 ,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,4,Daryl Mitchell,48,47,5,2,102.12 ,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,5,Tom Latham,53,46,6,1,115.21 ,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,6,Glenn Phillips,4,4,1,0,100.00 ,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,7,Mark Chapman,5,13,0,0,38.46 ,0,ODI # 4663
Netherlands vs New Zealand,New Zealand,8,Mitchell Santner,36,17,3,2,211.76 ,1,ODI # 4663
Netherlands vs New Zealand,New Zealand,9,Matt Henry,10,4,0,1,250.00 ,1,ODI # 4663
Netherlands vs New Zealand,Netherlands,1,Vikramjit Singh,12,20,1,0,60.00 ,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,2,Max O'Dowd,16,31,2,0,51.61 ,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,3,Colin Ackermann,69,73,5,0,94.52 ,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,4,Bas de Leede,18,25,3,0,72.00 ,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,5,Teja Nidamanuru,21,26,2,1,80.76 ,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,6,Scott Edwards,30,27,2,1,111.11 ,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,7,Sybrand Engelbrecht,29,34,3,0,85.29 ,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,8,Roelof van der Merwe,1,6,0,0,16.66 ,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,9,Ryan Klein,8,15,0,0,53.33 ,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,10,Aryan Dutt,11,20,0,1,55.00 ,0,ODI # 4663
Netherlands vs New Zealand,Netherlands,11,Paul van Meekeren,4,3,1,0,133.33 ,1,ODI # 4663
England vs Bangladesh,England,1,Jonny Bairstow,52,59,8,0,88.13 ,0,ODI # 4664
England vs Bangladesh,England,2,Dawid Malan,140,107,16,5,130.84 ,0,ODI # 4664
England vs Bangladesh,England,3,Joe Root,82,68,8,1,120.58 ,0,ODI # 4664
England vs Bangladesh,England,4,Jos Buttler,20,10,1,1,200.00 ,0,ODI # 4664
England vs Bangladesh,England,5,Harry Brook,20,15,3,0,133.33 ,0,ODI # 4664
England vs Bangladesh,England,6,Liam Livingstone,0,1,0,0,0.00 ,0,ODI # 4664
England vs Bangladesh,England,7,Sam Curran,11,15,1,0,73.33 ,0,ODI # 4664
England vs Bangladesh,England,8,Chris Woakes,14,11,2,0,127.27 ,0,ODI # 4664
England vs Bangladesh,England,9,Adil Rashid,11,7,1,0,157.14 ,0,ODI # 4664
England vs Bangladesh,England,10,Mark Wood,6,5,1,0,120.00 ,1,ODI # 4664
England vs Bangladesh,England,11,Reece Topley,1,2,0,0,50.00 ,1,ODI # 4664
England vs Bangladesh,Bangladesh,1,Litton Das,76,66,7,2,115.15 ,0,ODI # 4664
England vs Bangladesh,Bangladesh,2,Tanzid Hasan,1,2,0,0,50.00 ,0,ODI # 4664
England vs Bangladesh,Bangladesh,3,Najmul Hossain Shanto,0,1,0,0,0.00 ,0,ODI # 4664
England vs Bangladesh,Bangladesh,4,Shakib Al Hasan,1,9,0,0,11.11 ,0,ODI # 4664
England vs Bangladesh,Bangladesh,5,Mehidy Hasan Miraz,8,7,1,0,114.28 ,0,ODI # 4664
England vs Bangladesh,Bangladesh,6,Mushfiqur Rahim,51,64,4,0,79.68 ,0,ODI # 4664
England vs Bangladesh,Bangladesh,7,Towhid Hridoy,39,61,2,0,63.93 ,0,ODI # 4664
England vs Bangladesh,Bangladesh,8,Mahedi Hasan,14,32,1,0,43.75 ,0,ODI # 4664
England vs Bangladesh,Bangladesh,9,Taskin Ahmed,15,25,0,1,60.00 ,0,ODI # 4664
England vs Bangladesh,Bangladesh,10,Shoriful Islam,12,14,2,0,85.71 ,0,ODI # 4664
England vs Bangladesh,Bangladesh,11,Mustafizur Rahman,3,9,0,0,33.33 ,1,ODI # 4664
Pakistan vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,51,61,7,1,83.60 ,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,2,Kusal Perera,0,4,0,0,0.00 ,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,3,Kusal Mendis,122,77,14,6,158.44 ,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,4,Sadeera Samarawickrama,108,89,11,2,121.34 ,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,5,Charith Asalanka,1,3,0,0,33.33 ,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,6,Dhananjaya de Silva,25,34,3,0,73.52 ,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,7,Dasun Shanaka,12,18,0,0,66.66 ,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,8,Dunith Wellalage,10,8,1,0,125.00 ,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,9,Maheesh Theekshana,0,4,0,0,0.00 ,0,ODI # 4665
Pakistan vs Sri Lanka,Sri Lanka,10,Matheesha Pathirana,1,3,0,0,33.33 ,1,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,1,Abdullah Shafique,113,103,10,3,109.70 ,0,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,2,ImamNaNulNaNHaq,12,12,1,0,100.00 ,0,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,3,Babar Azam,10,15,1,0,66.66 ,0,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,4,Mohammad Rizwan,131,121,8,3,108.26 ,1,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,5,Saud Shakeel,31,30,2,0,103.33 ,0,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,6,Iftikhar Ahmed,22,10,4,0,220.00 ,1,ODI # 4665
India vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz,21,28,3,1,75.00 ,0,ODI # 4666
India vs Afghanistan,Afghanistan,2,Ibrahim Zadran,22,28,4,0,78.57 ,0,ODI # 4666
India vs Afghanistan,Afghanistan,3,Rahmat Shah,16,22,3,0,72.72 ,0,ODI # 4666
India vs Afghanistan,Afghanistan,4,Hashmatullah Shahidi,80,88,8,1,90.90 ,0,ODI # 4666
India vs Afghanistan,Afghanistan,5,Azmatullah Omarzai,62,69,2,4,89.85 ,0,ODI # 4666
India vs Afghanistan,Afghanistan,6,Mohammad Nabi,19,27,1,0,70.37 ,0,ODI # 4666
India vs Afghanistan,Afghanistan,7,Najibullah Zadran,2,8,0,0,25.00 ,0,ODI # 4666
India vs Afghanistan,Afghanistan,8,Rashid Khan,16,12,1,1,133.33 ,0,ODI # 4666
India vs Afghanistan,Afghanistan,9,Mujeeb Ur Rahman,10,12,2,0,83.33 ,1,ODI # 4666
India vs Afghanistan,Afghanistan,10,NaveenNaNulNaNHaq,9,8,1,0,112.50 ,1,ODI # 4666
India vs Afghanistan,India,1,Rohit Sharma,131,84,16,5,155.95 ,0,ODI # 4666
India vs Afghanistan,India,2,Ishan Kishan,47,47,5,2,100.00 ,0,ODI # 4666
India vs Afghanistan,India,3,Virat Kohli,55,56,6,0,98.21 ,1,ODI # 4666
India vs Afghanistan,India,4,Shreyas Iyer,25,23,1,1,108.69 ,1,ODI # 4666
Australia vs South Africa,South Africa,1,Quinton de Kock,109,106,8,5,102.83 ,0,ODI # 4667
Australia vs South Africa,South Africa,2,Temba Bavuma,35,55,2,0,63.63 ,0,ODI # 4667
Australia vs South Africa,South Africa,3,Rassie van der Dussen,26,30,2,0,86.66 ,0,ODI # 4667
Australia vs South Africa,South Africa,4,Aiden Markram,56,44,7,1,127.27 ,0,ODI # 4667
Australia vs South Africa,South Africa,5,Heinrich Klaasen,29,27,3,0,107.40 ,0,ODI # 4667
Australia vs South Africa,South Africa,6,David Miller,17,13,1,1,130.76 ,0,ODI # 4667
Australia vs South Africa,South Africa,7,Marco Jansen,26,22,3,1,118.18 ,0,ODI # 4667
Australia vs South Africa,South Africa,8,Kagiso Rabada,0,1,0,0,0.00 ,1,ODI # 4667
Australia vs South Africa,South Africa,9,Keshav Maharaj,0,2,0,0,0.00 ,1,ODI # 4667
Australia vs South Africa,Australia,1,Mitchell Marsh,7,15,0,0,46.66 ,0,ODI # 4667
Australia vs South Africa,Australia,2,David Warner,13,27,2,0,48.14 ,0,ODI # 4667
Australia vs South Africa,Australia,3,Steven Smith,19,16,4,0,118.75 ,0,ODI # 4667
Australia vs South Africa,Australia,4,Marnus Labuschagne,46,74,3,0,62.16 ,0,ODI # 4667
Australia vs South Africa,Australia,5,Josh Inglis,5,4,1,0,125.00 ,0,ODI # 4667
Australia vs South Africa,Australia,6,Glenn Maxwell,3,17,0,0,17.64 ,0,ODI # 4667
Australia vs South Africa,Australia,7,Marcus Stoinis,5,4,1,0,125.00 ,0,ODI # 4667
Australia vs South Africa,Australia,8,Mitchell Starc,27,51,3,0,52.94 ,0,ODI # 4667
Australia vs South Africa,Australia,9,Pat Cummins,22,21,4,0,104.76 ,0,ODI # 4667
Australia vs South Africa,Australia,10,Adam Zampa,11,16,1,0,68.75 ,1,ODI # 4667
Australia vs South Africa,Australia,11,Josh Hazlewood,2,2,0,0,100.00 ,0,ODI # 4667
Bangladesh vs New Zealand,Bangladesh,1,Litton Das,0,1,0,0,0.00 ,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,2,Tanzid Hasan,16,17,4,0,94.11 ,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,3,Mehidy Hasan Miraz,30,46,4,0,65.21 ,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,4,Najmul Hossain Shanto,7,8,1,0,87.50 ,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,5,Shakib Al Hasan,40,51,3,2,78.43 ,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,6,Mushfiqur Rahim,66,75,6,2,88.00 ,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,7,Towhid Hridoy,13,25,0,0,52.00 ,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,8,Mahmudullah,41,49,2,2,83.67 ,1,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,9,Taskin Ahmed,17,19,0,2,89.47 ,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,10,Mustafizur Rahman,4,10,0,0,40.00 ,0,ODI # 4668
Bangladesh vs New Zealand,Bangladesh,11,Shoriful Islam,2,3,0,0,66.66 ,1,ODI # 4668
Bangladesh vs New Zealand,New Zealand,1,Devon Conway,45,59,3,0,76.27 ,0,ODI # 4668
Bangladesh vs New Zealand,New Zealand,2,Rachin Ravindra,9,13,2,0,69.23 ,0,ODI # 4668
Bangladesh vs New Zealand,New Zealand,3,Kane Williamson,78,107,8,1,72.89 ,0,ODI # 4668
Bangladesh vs New Zealand,New Zealand,4,Daryl Mitchell,89,67,6,4,132.83 ,1,ODI # 4668
